home_team,away_team,home_goals,away_goals,result,season
Manchester United,Fulham,5.0,1.0,W,2006-2007
Manchester United,Tottenham Hotspur,1.0,0.0,W,2006-2007
Manchester United,Arsenal,0.0,1.0,L,2006-2007
Manchester United,Newcastle United,2.0,0.0,W,2006-2007
Manchester United,Liverpool,2.0,0.0,W,2006-2007
Manchester United,Portsmouth,3.0,0.0,W,2006-2007
Manchester United,Chelsea,1.0,1.0,D,2006-2007
Manchester United,Everton,3.0,0.0,W,2006-2007
Manchester United,Manchester City,3.0,1.0,W,2006-2007
Manchester United,Wigan Athletic,3.0,1.0,W,2006-2007
Manchester United,Reading,3.0,2.0,W,2006-2007
Manchester United,Aston Villa,3.0,1.0,W,2006-2007
Manchester United,Watford,4.0,0.0,W,2006-2007
Manchester United,Charlton Athletic,2.0,0.0,W,2006-2007
Manchester United,Bolton Wanderers,4.0,1.0,W,2006-2007
Manchester United,Blackburn Rovers,4.0,1.0,W,2006-2007
Manchester United,Sheffield United,2.0,0.0,W,2006-2007
Manchester United,Middlesbrough,1.0,1.0,D,2006-2007
Manchester United,West Ham United,0.0,1.0,L,2006-2007
Manchester United,Reading,0.0,0.0,D,2007-2008
Manchester United,Tottenham Hotspur,1.0,0.0,W,2007-2008
Manchester United,Sunderland,1.0,0.0,W,2007-2008
Manchester United,Chelsea,2.0,0.0,W,2007-2008
Manchester United,Wigan Athletic,4.0,0.0,W,2007-2008
Manchester United,Middlesbrough,4.0,1.0,W,2007-2008
Manchester United,Blackburn Rovers,2.0,0.0,W,2007-2008
Manchester United,Fulham,2.0,0.0,W,2007-2008
Manchester United,Derby County,4.0,1.0,W,2007-2008
Manchester United,Everton,2.0,1.0,W,2007-2008
Manchester United,Birmingham City,1.0,0.0,W,2007-2008
Manchester United,Newcastle United,6.0,0.0,W,2007-2008
Manchester United,Portsmouth,2.0,0.0,W,2007-2008
Manchester United,Manchester City,1.0,2.0,L,2007-2008
Manchester United,Bolton Wanderers,2.0,0.0,W,2007-2008
Manchester United,Liverpool,3.0,0.0,W,2007-2008
Manchester United,Aston Villa,4.0,0.0,W,2007-2008
Manchester United,Arsenal,2.0,1.0,W,2007-2008
Manchester United,West Ham United,4.0,1.0,W,2007-2008
Manchester United,Newcastle United,1.0,1.0,D,2008-2009
Manchester United,Bolton Wanderers,2.0,0.0,W,2008-2009
Manchester United,West Bromwich Albion,4.0,0.0,W,2008-2009
Manchester United,West Ham United,2.0,0.0,W,2008-2009
Manchester United,Hull City,4.0,3.0,W,2008-2009
Manchester United,Stoke City,5.0,0.0,W,2008-2009
Manchester United,Sunderland,1.0,0.0,W,2008-2009
Manchester United,Middlesbrough,1.0,0.0,W,2008-2009
Manchester United,Chelsea,3.0,0.0,W,2008-2009
Manchester United,Wigan Athletic,1.0,0.0,W,2008-2009
Manchester United,Everton,1.0,0.0,W,2008-2009
Manchester United,Fulham,3.0,0.0,W,2008-2009
Manchester United,Blackburn Rovers,2.0,1.0,W,2008-2009
Manchester United,Liverpool,1.0,4.0,L,2008-2009
Manchester United,Aston Villa,3.0,2.0,W,2008-2009
Manchester United,Portsmouth,2.0,0.0,W,2008-2009
Manchester United,Tottenham Hotspur,5.0,2.0,W,2008-2009
Manchester United,Manchester City,2.0,0.0,W,2008-2009
Manchester United,Arsenal,0.0,0.0,D,2008-2009
Manchester United,Birmingham City,1.0,0.0,W,2009-2010
Manchester United,Arsenal,2.0,1.0,W,2009-2010
Manchester United,Manchester City,4.0,3.0,W,2009-2010
Manchester United,Sunderland,2.0,2.0,D,2009-2010
Manchester United,Bolton Wanderers,2.0,1.0,W,2009-2010
Manchester United,Blackburn Rovers,2.0,0.0,W,2009-2010
Manchester United,Everton,3.0,0.0,W,2009-2010
Manchester United,Aston Villa,0.0,1.0,L,2009-2010
Manchester United,Wolverhampton Wanderers,3.0,0.0,W,2009-2010
Manchester United,Wigan Athletic,5.0,0.0,W,2009-2010
Manchester United,Burnley,3.0,0.0,W,2009-2010
Manchester United,Hull City,4.0,0.0,W,2009-2010
Manchester United,Portsmouth,5.0,0.0,W,2009-2010
Manchester United,West Ham United,3.0,0.0,W,2009-2010
Manchester United,Fulham,3.0,0.0,W,2009-2010
Manchester United,Liverpool,2.0,1.0,W,2009-2010
Manchester United,Chelsea,1.0,2.0,L,2009-2010
Manchester United,Tottenham Hotspur,3.0,1.0,W,2009-2010
Manchester United,Stoke City,4.0,0.0,W,2009-2010
Manchester United,Newcastle United,3.0,0.0,W,2010-2011
Manchester United,West Ham United,3.0,0.0,W,2010-2011
Manchester United,Liverpool,3.0,2.0,W,2010-2011
Manchester United,West Bromwich Albion,2.0,2.0,D,2010-2011
Manchester United,Tottenham Hotspur,2.0,0.0,W,2010-2011
Manchester United,Wolverhampton Wanderers,2.0,1.0,W,2010-2011
Manchester United,Wigan Athletic,2.0,0.0,W,2010-2011
Manchester United,Bolton Wanderers,1.0,0.0,W,2010-2011
Manchester United,Arsenal,1.0,0.0,W,2010-2011
Manchester United,Sunderland,2.0,0.0,W,2010-2011
Manchester United,Stoke City,2.0,1.0,W,2010-2011
Manchester United,Birmingham City,5.0,0.0,W,2010-2011
Manchester United,Aston Villa,3.0,1.0,W,2010-2011
Manchester United,Manchester City,2.0,1.0,W,2010-2011
Manchester United,Blackburn Rovers,7.0,1.0,W,2010-2011
Manchester United,Fulham,2.0,0.0,W,2010-2011
Manchester United,Everton,1.0,0.0,W,2010-2011
Manchester United,Chelsea,2.0,1.0,W,2010-2011
Manchester United,Blackpool,4.0,2.0,W,2010-2011
Manchester United,Tottenham Hotspur,3.0,0.0,W,2011-2012
Manchester United,Arsenal,8.0,2.0,W,2011-2012
Manchester United,Chelsea,3.0,1.0,W,2011-2012
Manchester United,Norwich City,2.0,0.0,W,2011-2012
Manchester United,Manchester City,1.0,6.0,L,2011-2012
Manchester United,Sunderland,1.0,0.0,W,2011-2012
Manchester United,Newcastle United,1.0,1.0,D,2011-2012
Manchester United,Wolverhampton Wanderers,4.0,1.0,W,2011-2012
Manchester United,Wigan Athletic,5.0,0.0,W,2011-2012
Manchester United,Blackburn Rovers,2.0,3.0,L,2011-2012
Manchester United,Bolton Wanderers,3.0,0.0,W,2011-2012
Manchester United,Stoke City,2.0,0.0,W,2011-2012
Manchester United,Liverpool,2.0,1.0,W,2011-2012
Manchester United,West Bromwich Albion,2.0,0.0,W,2011-2012
Manchester United,Fulham,1.0,0.0,W,2011-2012
Manchester United,Queens Park Rangers,2.0,0.0,W,2011-2012
Manchester United,Aston Villa,4.0,0.0,W,2011-2012
Manchester United,Everton,4.0,4.0,D,2011-2012
Manchester United,Swansea City,2.0,0.0,W,2011-2012
Manchester United,Fulham,3.0,2.0,W,2012-2013
Manchester United,Wigan Athletic,4.0,0.0,W,2012-2013
Manchester United,Tottenham Hotspur,2.0,3.0,L,2012-2013
Manchester United,Stoke City,4.0,2.0,W,2012-2013
Manchester United,Arsenal,2.0,1.0,W,2012-2013
Manchester United,Queens Park Rangers,3.0,1.0,W,2012-2013
Manchester United,West Ham United,1.0,0.0,W,2012-2013
Manchester United,Sunderland,3.0,1.0,W,2012-2013
Manchester United,Newcastle United,4.0,3.0,W,2012-2013
Manchester United,West Bromwich Albion,2.0,0.0,W,2012-2013
Manchester United,Liverpool,2.0,1.0,W,2012-2013
Manchester United,Southampton,2.0,1.0,W,2012-2013
Manchester United,Everton,2.0,0.0,W,2012-2013
Manchester United,Norwich City,4.0,0.0,W,2012-2013
Manchester United,Reading,1.0,0.0,W,2012-2013
Manchester United,Manchester City,1.0,2.0,L,2012-2013
Manchester United,Aston Villa,3.0,0.0,W,2012-2013
Manchester United,Chelsea,0.0,1.0,L,2012-2013
Manchester United,Swansea City,2.0,1.0,W,2012-2013
Manchester United,Chelsea,0.0,0.0,D,2013-2014
Manchester United,Crystal Palace,2.0,0.0,W,2013-2014
Manchester United,West Bromwich Albion,1.0,2.0,L,2013-2014
Manchester United,Southampton,1.0,1.0,D,2013-2014
Manchester United,Stoke City,3.0,2.0,W,2013-2014
Manchester United,Arsenal,1.0,0.0,W,2013-2014
Manchester United,Everton,0.0,1.0,L,2013-2014
Manchester United,Newcastle United,0.0,1.0,L,2013-2014
Manchester United,West Ham United,3.0,1.0,W,2013-2014
Manchester United,Tottenham Hotspur,1.0,2.0,L,2013-2014
Manchester United,Swansea City,2.0,0.0,W,2013-2014
Manchester United,Cardiff City,2.0,0.0,W,2013-2014
Manchester United,Fulham,2.0,2.0,D,2013-2014
Manchester United,Liverpool,0.0,3.0,L,2013-2014
Manchester United,Manchester City,0.0,3.0,L,2013-2014
Manchester United,Aston Villa,4.0,1.0,W,2013-2014
Manchester United,Norwich City,4.0,0.0,W,2013-2014
Manchester United,Sunderland,0.0,1.0,L,2013-2014
Manchester United,Hull City,3.0,1.0,W,2013-2014
