Categories,Value,Season
Wins,28,2006-2007
Losses,5,2006-2007
Clean Sheets,16,2006-2007
Goals Conceded,27,2006-2007
Goals Scored,83,2006-2007
Wins,27,2007-2008
Losses,5,2007-2008
Clean Sheets,21,2007-2008
Goals Conceded,22,2007-2008
Goals Scored,80,2007-2008
Wins,28,2008-2009
Losses,4,2008-2009
Clean Sheets,24,2008-2009
Goals Conceded,24,2008-2009
Goals Scored,68,2008-2009
Wins,27,2009-2010
Losses,7,2009-2010
Clean Sheets,19,2009-2010
Goals Conceded,28,2009-2010
Goals Scored,86,2009-2010
Wins,23,2010-2011
Losses,4,2010-2011
Clean Sheets,15,2010-2011
Goals Conceded,37,2010-2011
Goals Scored,78,2010-2011
Wins,28,2011-2012
Losses,5,2011-2012
Clean Sheets,20,2011-2012
Goals Conceded,33,2011-2012
Goals Scored,89,2011-2012
Wins,28,2012-2013
Losses,5,2012-2013
Clean Sheets,13,2012-2013
Goals Conceded,43,2012-2013
Goals Scored,86,2012-2013
Wins,19,2013-2014
Losses,12,2013-2014
Clean Sheets,13,2013-2014
Goals Conceded,43,2013-2014
Goals Scored,64,2013-2014
Wins,20,2014-2015
Losses,8,2014-2015
Clean Sheets,11,2014-2015
Goals Conceded,37,2014-2015
Goals Scored,62,2014-2015
Wins,19,2015-2016
Losses,10,2015-2016
Clean Sheets,18,2015-2016
Goals Conceded,35,2015-2016
Goals Scored,49,2015-2016
Wins,18,2016-2017
Losses,5,2016-2017
Clean Sheets,17,2016-2017
Goals Conceded,29,2016-2017
Goals Scored,54,2016-2017
Wins,25,2017-2018
Losses,7,2017-2018
Goals Conceded,28,2017-2018
Clean Sheets,19,2017-2018
Goals Scored,68,2017-2018
